Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
b3a2f850-77bf-d9eb-b9d4-da65fd3c6656,1989-09-16,,999-76-5071,S99940352,X28213875X,Mr.,Edgar153,Hermann103,,,M,white,nonhispanic,M,El Dorado  Arkansas  US,961 Yost Glen Unit 14,Conway,Arkansas,Faulkner County,72034,35.089367043883584,-92.53012655589498,637935.53,920.1299999999998
cf47d63e-35d9-2087-b38d-ca87ba301b70,2018-09-06,,999-92-3312,,,,Dionna991,Heathcote539,,,,white,nonhispanic,F,North Little Rock  Arkansas  US,955 Goldner Dam,Jonesboro,Arkansas,Craighead County,72411,35.76508313445192,-90.77985036110239,45753.72,933.9699999999999
57348da3-b1ca-9e9f-a33f-ea8ac696177a,2013-07-30,,999-80-4418,,,,Eleni953,Gusikowski974,,,,white,nonhispanic,F,Russellville  Arkansas  US,888 Heller Crossroad Apt 70,Centerton,Arkansas,Benton County,72736,36.39491389847999,-94.32674505873725,163993.55,1455.34
228711af-de34-1403-d881-b374f0f4f4da,2011-05-20,,999-51-6410,,,,Ricardo560,Mills423,,,,white,nonhispanic,M,Fayetteville  Arkansas  US,781 Waters Gardens Unit 1,England,Arkansas,Lonoke County,72046,34.602925549363235,-91.9730390218593,4952.45,88.63
41bb6805-17f1-97b6-9891-f396e4607bdc,1969-10-23,,999-72-5953,S99934749,X48602118X,Mrs.,Michelle423,Breitenberg711,,Hyatt152,M,white,nonhispanic,F,Bryant  Arkansas  US,166 Steuber Boulevard,Trumann,Arkansas,Poinsett County,72472,35.55828440373743,-90.48663147016825,1062661.02,2451.1499999999996
59a701d8-dd44-e4ec-fc54-115aac7059ec,2017-10-11,,999-88-9684,,,,Ligia986,Emard19,,,,black,nonhispanic,F,Cherokee  Arkansas  US,714 Stark Village,Marion,Arkansas,Crittenden County,72364,35.18164447530792,-90.15336073130206,61280.0,983.56
e2ac27da-91ec-2b63-550d-48b82613c921,2003-04-26,,999-74-9149,S99992663,,,Emmie273,McKenzie376,,,,white,nonhispanic,F,Jonesboro  Arkansas  US,734 Runte Neck Apt 92,Fort Smith,Arkansas,Sebastian County,72903,35.31128016973226,-94.35168519318428,399534.74,1921.0899999999997
d533e113-4498-dc86-b8c1-3b56fc7eb98a,1959-08-03,,999-63-9560,S99916356,X55820658X,Mr.,Rosendo998,Hilpert278,,,S,white,nonhispanic,M,Fayetteville  Arkansas  US,362 Moen Branch Suite 85,Fayetteville,Arkansas,Washington County,72704,36.12696710250253,-94.05850014049177,196586.22,22587.399999999998
846b56c6-cdbb-a127-d369-45b4b1fa9cae,1976-02-11,2020-03-09,999-17-4436,S99986691,X80236164X,Mr.,Lucio648,Bashirian201,,,M,white,nonhispanic,M,College City  Arkansas  US,165 Denesik Manor,Russellville,Arkansas,Pope County,72802,35.316065820632296,-93.0995290856593,1177148.9000000001,1519.31
9992f1ed-fed2-bb81-a93e-bda94055be34,1976-02-11,,999-59-9432,S99953352,X9314203X,Mr.,Wilbert25,Considine820,,,M,white,nonhispanic,M,Bella Vista  Arkansas  US,428 Lang Park Apt 67,Russellville,Arkansas,Pope County,72801,35.28473582913282,-93.00936523576244,926391.25,1847.2499999999995
8ece8d45-5e44-cbcf-1e4f-3073dc12ced5,1922-05-01,1989-09-04,999-40-3472,S99970269,X88278356X,Mr.,Jerrold404,Goldner995,,,M,white,nonhispanic,M,Dermott  Arkansas  US,424 Halvorson Parade Suite 56,Benton,Arkansas,Saline County,72019,34.4958503685165,-92.57400336082475,230815.01,281959.72
1d3f818f-7555-83fc-7ef9-bd38c8326325,1922-05-01,1972-11-27,999-43-6801,S99934969,X18266978X,Mr.,Hugh686,Turcotte120,,,M,white,nonhispanic,M,North Little Rock  Arkansas  US,987 Fadel Rue Unit 23,Benton,Arkansas,Saline County,72011,34.64257681241544,-92.50916961670406,157665.23,2376.2899999999995
50cee295-ebc5-38c0-c7de-3319257498e3,1922-05-01,,999-34-8782,S99965063,X19294468X,Mr.,Milo271,Morar593,,,S,white,nonhispanic,M,Prescott  Arkansas  US,538 Bashirian Wall Suite 49,Benton,Arkansas,Saline County,72019,34.503855079509144,-92.60252756590172,414080.37,10179.599999999999
